Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.Runtime.CompilerServices.Unsafe 7.0.0-preview.2.22152.2,,,,,"System.Runtime.CompilerServices.Unsafe, 7.0.0-preview.2.22152.2  Recommendation:  Remove System.Runtime.CompilerServices.Unsafe, and replace with new package System.Runtime.CompilerServices.Unsafe 6.1.2"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.Runtime.Extensions 4.3.1,,,,,"System.Runtime.Extensions, 4.3.1  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.Runtime.InteropServices 4.3.0,,,,,"System.Runtime.InteropServices, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.Runtime.InteropServices.RuntimeInformation 4.3.0,,,,,"System.Runtime.InteropServices.RuntimeInformation, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.Security.Cryptography.Algorithms 4.3.1,,,,,"System.Security.Cryptography.Algorithms, 4.3.1  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.Security.Cryptography.Encoding 4.3.0,,,,,"System.Security.Cryptography.Encoding, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.Security.Cryptography.Primitives 4.3.0,,,,,"System.Security.Cryptography.Primitives, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.Security.Cryptography.ProtectedData 9.0.0,,,,,"System.Security.Cryptography.ProtectedData, 9.0.0  Recommendation:  Remove System.Security.Cryptography.ProtectedData, and replace with new package System.Security.Cryptography.ProtectedData 10.0.9"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.Security.Cryptography.X509Certificates 4.3.2,,,,,"System.Security.Cryptography.X509Certificates, 4.3.2  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.Security.Principal.Windows 5.0.0,,,,,"System.Security.Principal.Windows, 5.0.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.Text.Encoding.CodePages 9.0.3,,,,,"System.Text.Encoding.CodePages, 9.0.3  Recommendation:  Remove System.Text.Encoding.CodePages, and replace with new package System.Text.Encoding.CodePages 10.0.9"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.Text.Encodings.Web 9.0.3,,,,,"System.Text.Encodings.Web, 9.0.3  Recommendation:  Remove System.Text.Encodings.Web, and replace with new package System.Text.Encodings.Web 10.0.9"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.Text.Json 9.0.3,,,,,"System.Text.Json, 9.0.3  Recommendation:  Remove System.Text.Json, and replace with new package System.Text.Json 10.0.9"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.Threading.Channels 9.0.3,,,,,"System.Threading.Channels, 9.0.3  Recommendation:  Remove System.Threading.Channels, and replace with new package System.Threading.Channels 10.0.9"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.Threading.Tasks.Dataflow 9.0.0,,,,,"System.Threading.Tasks.Dataflow, 9.0.0  Recommendation:  Remove System.Threading.Tasks.Dataflow, and replace with new package System.Threading.Tasks.Dataflow 10.0.9"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.Threading.Tasks.Extensions 4.6.0,,,,,"System.Threading.Tasks.Extensions, 4.6.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.Threading.Thread 4.3.0,,,,,"System.Threading.Thread, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.ValueTuple 4.5.0,,,,,"System.ValueTuple, 4.5.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.Xml.ReaderWriter 4.3.1,,,,,"System.Xml.ReaderWriter, 4.3.1  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.Xml.XmlDocument 4.3.0,,,,,"System.Xml.XmlDocument, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.Xml.XPath 4.3.0,,,,,"System.Xml.XPath, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.Xml.XPath.XDocument 4.3.0,,,,,"System.Xml.XPath.XDocument, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,cef.redist.x64 120.2.7,,,,,"cef.redist.x64, 120.2.7  Recommendation:  This package is no longer being maintained, it has been replaced by chromiumembeddedframework.runtime.win-x64 Remove cef.redist.x64, and replace with new package cef.redist.x64, 120.2.7"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,cef.redist.x86 120.2.7,,,,,"cef.redist.x86, 120.2.7  Recommendation:  This package is no longer being maintained, it has been replaced by chromiumembeddedframework.runtime.win-x86 Remove cef.redist.x86, and replace with new package cef.redist.x86, 120.2.7"
NuGet.0004,NuGet package contains security vulnerability,Active,Optional,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,CefSharp.Common 141.0.110,,,,,"CefSharp.Common, 141.0.110  Recommendation:  CefSharp.Common, 86.0.241"
NuGet.0004,NuGet package contains security vulnerability,Active,Optional,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,log4net 3.0.4,,,,,"log4net, 3.0.4  Recommendation:  log4net, 3.3.2"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,Scintilla.NET 5.3.2.7,,,,,"Scintilla.NET, 5.3.2.7  Recommendation:  The project ownership has been transferred to new maintainer, please use the new package instead of this one. Remove Scintilla.NET, and replace with new package Scintilla.NET, 5.3.2.9"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.8 Recommended target framework: net10.0-windows"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,qbook\qbook.csproj,File,qbook\License\License2.cs,306,8,T:System.Security.Cryptography.RijndaelManaged,,,,,private static RijndaelManaged NewRijndaelManaged(string salt)
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,qbook\qbook.csproj,File,qbook\License\License2.cs,312,12,T:System.Security.Cryptography.RijndaelManaged,,,,,var aesAlg = new RijndaelManaged();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,qbook\qbook.csproj,File,qbook\License\License2.cs,310,12,T:System.Security.Cryptography.Rfc2898DeriveBytes,,,,,"var key = new Rfc2898DeriveBytes(Inputkey, saltBytes);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,qbook\qbook.csproj,File,qbook\License\License2.cs,310,12,"M:System.Security.Cryptography.Rfc2898DeriveBytes.#ctor(System.String,System.Byte[])",,,,,"var key = new Rfc2898DeriveBytes(Inputkey, saltBytes);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,qbook\qbook.csproj,File,qbook\License\License2.cs,282,12,T:System.Security.Cryptography.RijndaelManaged,,,,,var aesAlg = NewRijndaelManaged(salt);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,qbook\qbook.csproj,File,qbook\License\License2.cs,241,12,T:System.Security.Cryptography.RijndaelManaged,,,,,var aesAlg = NewRijndaelManaged(salt);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,qbook\qbook.csproj,File,qbook\License\HardwareInfo.cs,470,16,P:System.Management.ManagementBaseObject.Item(System.String),,,,,"info = (string)mo[""Name""];"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,qbook\qbook.csproj,File,qbook\License\HardwareInfo.cs,466,12,T:System.Management.ManagementObjectCollection,,,,,ManagementObjectCollection moc = mc.GetInstances();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,qbook\qbook.csproj,File,qbook\License\HardwareInfo.cs,466,12,M:System.Management.ManagementClass.GetInstances,,,,,ManagementObjectCollection moc = mc.GetInstances();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,qbook\qbook.csproj,File,qbook\License\HardwareInfo.cs,465,12,T:System.Management.ManagementClass,,,,,"ManagementClass mc = new ManagementClass(""Win32_ComputerSystem"");"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,qbook\qbook.csproj,File,qbook\License\HardwareInfo.cs,465,12,M:System.Management.ManagementClass.#ctor(System.String),,,,,"ManagementClass mc = new ManagementClass(""Win32_ComputerSystem"");"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,qbook\qbook.csproj,File,qbook\License\HardwareInfo.cs,453,16,P:System.Management.ManagementBaseObject.Item(System.String),,,,,"info = name + "", "" + (string)mo[""Caption""] + "", "" + (string)mo[""SocketDesignation""];"
